[#CLIENT#] INFO: CS350 Client Version 3.0
[#CLIENT#] INFO: setting client port as: 2222
[#CLIENT#] INFO: setting distribution: 0
[#CLIENT#] INFO: Initiating connection...
[#CLIENT#] PREP REQ 0
[#CLIENT#] SENT REQ 0
[#CLIENT#] RESP REQ 0
[#CLIENT#] PREP REQ 1
[#CLIENT#] SENT REQ 1
[#CLIENT#] RESP REQ 1
[#CLIENT#] PREP REQ 2
[#CLIENT#] SENT REQ 2
[#CLIENT#] RESP REQ 2
[#CLIENT#] PREP REQ 3
[#CLIENT#] SENT REQ 3
[#CLIENT#] PREP REQ 4
[#CLIENT#] SENT REQ 4
[#CLIENT#] PREP REQ 5
[#CLIENT#] SENT REQ 5
[#CLIENT#] RESP REQ 3
[#CLIENT#] PREP REQ 6
[#CLIENT#] SENT REQ 6
[#CLIENT#] PREP REQ 7
[#CLIENT#] SENT REQ 7
[#CLIENT#] RESP REQ 4
[#CLIENT#] RESP REQ 5
[#CLIENT#] RESP REQ 6
[#CLIENT#] PREP REQ 8
[#CLIENT#] SENT REQ 8
[#CLIENT#] RESP REQ 7
[#CLIENT#] PREP REQ 9
[#CLIENT#] SENT REQ 9
[#CLIENT#] PREP REQ 10
[#CLIENT#] SENT REQ 10
[#CLIENT#] PREP REQ 11
[#CLIENT#] SENT REQ 11
[#CLIENT#] PREP REQ 12
[#CLIENT#] SENT REQ 12
[#CLIENT#] PREP REQ 13
[#CLIENT#] SENT REQ 13
[#CLIENT#] PREP REQ 14
[#CLIENT#] SENT REQ 14
[#CLIENT#] RESP REQ 8
[#CLIENT#] RESP REQ 9
[#CLIENT#] RESP REQ 10
[#CLIENT#] RESP REQ 11
[#CLIENT#] RESP REQ 12
[#CLIENT#] RESP REQ 13
[#CLIENT#] RESP REQ 14
[#CLIENT#] PREP REQ 15
[#CLIENT#] SENT REQ 15
[#CLIENT#] PREP REQ 16
[#CLIENT#] SENT REQ 16
[#CLIENT#] RESP REQ 15
[#CLIENT#] PREP REQ 17
[#CLIENT#] SENT REQ 17
[#CLIENT#] RESP REQ 16
[#CLIENT#] RESP REQ 17
[#CLIENT#] PREP REQ 18
[#CLIENT#] SENT REQ 18
[#CLIENT#] PREP REQ 19
[#CLIENT#] SENT REQ 19
[#CLIENT#] PREP REQ 20
